nr;Hotelname;Adress;Zipcode;Place;Numberofrooms;Reviewtitle;Reviewtext;Reviewrating;Yearwrotereview
13106;Hotel Nes Ameland;Strandweg 39, 9163 GL Nes, Ameland Nederland;9163 GL;Nes, Ameland; 34;Goed hotel met vriendelijk personeel en goede kamers;Een zeer goed hotel met een jong koppel aan de leiding en zeer vriendelijk zijn op alle gebied, voor vragen kun je ook altijd terecht, zeer goed kamers met goede bedden. Het ontbijt was ook zeer goed en meer dan genoeg. Geen restaurant aanwezig maar dat is geen probleem want er.;4;2015
 6133;Fletcher Resort-Hotel Amelander Kaap;Oosterhiemweg 1, 9161 CZ Hollum, Ameland Nederland;9161 CZ;Hollum, Ameland; 40;Gewoon en een goed hotel zoals het zou moeten zijn. Eenvoud en kwaliteit.;Personeel attent met gevoel voor dienst verlening. Kamer basic, prima om te overnachten. Omgeving om tot rust te komen en de natuur en historie te ontdekken. Ontbijt basic en diner culinair. Zwembad basic. Openbaar vervoer stipt.;4;2017
  780;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;Jaarlijks weekje vakantie met de kleinkinderen;Naar analogie van de 6 vorige keren was ook dit jaar super geslaagd. Schitterende kamers, heerlijk ontbijt, onneembaar vriendelijk personeel en directie. Voelde ook dit jaar weer als thuis komen met daar boven op de unieke sfeer van 2018 Leeuwarden Culturele Hoofdstad van.;5;2018
 6009;Hotel de Walvisvaarder;Lies 23, 8895 KP Lies, Terschelling Nederland;8895 KP;Lies, Terschelling; 68;Heerlijk ontspannen sfeer;Met een bevriend echtpaar 2 nachten in de keurige hotel verbleven. Wat direct opviel was de vriendelijkheid van het personeel ! Die mensen stralen plezier uit en dat geeft je meteen het gevoel dat je welkom bent. Kamers waren prima, bedden waren goed en alkes was schoon ....;4;2015
 1322;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Epemastate te Ysbrechtum;Via van der Valk is het mogelijk in het poortgebouw van de Epemastate te overnachten. Vorstelijk, super romantisch op een zeer bijzondere plek. Een 17e eeuws poortgebouw, helemaal voor jezelf. Romantiek ten top. Een absolute aanrader.   Het gehucht Ysbrechtum ligt op een paar km.;5;2016
 4767;WestCord Hotel De Wadden;Dorpsstraat 61, 8899 AD, Vlieland Nederland;8899 AD;NA; 22;Comfortabel zonder al te veel franje;Had een comfortabel verblijf in dit hotel. Personeel is vriendelijk, de locatie is geweldig, en de kamer was zeer ruim. Niets bijzonders te maken het hotel opvalt, maar een goed genoeg om naar terug te keren. Het hotel is door een bar ( leek rustig genoeg, hoewel de.;3;2015
10869;Bij Hen op Ameland;Westerlaan 9, 9161 AN Hollum, Ameland Nederland;9161 AN;Hollum, Ameland; 10;Aanrader;Heerlijke pompoensoep en rundvleesburger met ei gegeten! Zeker een aanrader! Goede en snelle bediening. En door het meubilair een leuke en aantrekkelijke sfeer. Frites leuk geserveerd en erg lekker. Super!;4;2017
 7144;Zee van Tijd;Rixt van Doniastraat 18, 9163 GR Nes, Ameland Nederland;9163 GR;Nes, Ameland;  8;Zee van gastvrijheid;Wat hebben wij genoten van de gastvrijheid van het personeel in dit prachtig mooie hotel / restaurant wij hadden geboekt een voorjaars arrangement voor twee personen. Twee overnachtingen in een prachtige kamer (N volgens ons de allermooiste) twee maal een heerlijk ontbijt (was.;5;2015
 6314;Fletcher Resort-Hotel Amelander Kaap;Oosterhiemweg 1, 9161 CZ Hollum, Ameland Nederland;9161 CZ;Hollum, Ameland; 40;Goed voor 1 of 2 nachten;Hotel is gedateerd en mag zeker wel een keer een opfrisbeurt krijgen. Speciale kamer gereserveerd omdat wij onze honden mee hadden genomen. Kamer was alleen op de 1e etage en de lift was kapot, niet echt fijn als je honden niet gewend zijn om trap te lopen. Ontbijt was niet.;3;2016
 4201;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;Prima hotel.;Als je Ameland wil bezoeken is dit hotel een aanrader. Prima kamer met alles er op en er aan. Rustige ligging en een prima restaurant. Het dorp, Nes, is op een wandeling afstand en heeft een zeer gezellig centrum met, eveneens goede restaurants. Wij gaan beslist nog eens terug.;4;2014
